Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,Transmission Classification
Jersey,Europe,3233,2999.18,1,0.93,0,69,64.01,0,0,0,Community transmission
United States Virgin Islands,Americas,3068,2937.99,40,38.31,4,27,25.86,1,0.96,0,Community transmission
Liechtenstein,Europe,2947,7605.75,50,129.04,0,56,144.53,0,0,0,Sporadic cases
Viet Nam,Western Pacific,2832,2.91,59,0.06,8,35,0.04,0,0,0,Clusters of cases
Monaco,Europe,2426,6181.84,35,89.19,3,31,78.99,0,0,0,Sporadic cases
Turks and Caicos Islands,Americas,2375,6134.1,8,20.66,4,17,43.91,0,0,0,Clusters of cases
Sao Tome and Principe,Africa,2292,1045.82,20,9.13,4,35,15.97,0,0,0,Community transmission
Bermuda,Americas,2284,3667.72,261,419.12,23,23,36.93,6,9.63,1,Community transmission
New Zealand,Western Pacific,2245,46.56,11,0.23,2,26,0.54,0,0,0,Clusters of cases
Sint Maarten,Americas,2212,5158.34,10,23.32,0,27,62.96,0,0,0,Community transmission
Liberia,Africa,2086,41.24,15,0.3,0,85,1.68,0,0,0,Community transmission
Saint Vincent and the Grenadines,Americas,1827,1646.84,8,7.21,0,10,9.01,0,0,0,Community transmission
Saint Martin,Americas,1710,4423.29,7,18.11,0,13,33.63,0,0,0,Community transmission
Timor-Leste,South-East Asia,1657,125.68,464,35.19,0,3,0.23,1,0.08,0,Clusters of cases
Isle of Man,Europe,1584,1862.83,9,10.58,5,29,34.1,0,0,0,No cases
Bonaire,Americas,1527,7300.98,16,76.5,0,15,71.72,1,4.78,0,Community transmission
Antigua and Barbuda,Americas,1222,1247.84,9,9.19,5,31,31.66,0,0,0,Clusters of cases
Mauritius,Africa,1206,94.83,8,0.63,3,16,1.26,1,0.08,1,Clusters of cases
Bhutan,South-East Asia,1008,130.64,67,8.68,16,1,0.13,0,0,0,Sporadic cases
Saint Barthélemy,Americas,954,9650.99,26,263.02,0,1,10.12,0,0,0,Clusters of cases
Guernsey,Europe,822,1275.05,0,0,0,14,21.72,0,0,0,Community transmission
Other,Other,745,,0,,0,13,,0,,0,Not applicable
Faroe Islands,Europe,663,1356.8,1,2.05,0,1,2.05,0,0,0,Sporadic cases
Cayman Islands,Americas,531,807.97,8,12.17,0,2,3.04,0,0,0,Sporadic cases
United Republic of Tanzania,Africa,509,0.85,0,0,0,21,0.04,0,0,0,Pending
Wallis and Futuna,Western Pacific,449,3992.53,2,17.78,0,5,44.46,0,0,0,Sporadic cases
Brunei Darussalam,Western Pacific,223,50.97,2,0.46,0,3,0.69,0,0,0,Sporadic cases
British Virgin Islands,Americas,194,641.6,7,23.15,0,1,3.31,0,0,0,Clusters of cases
Dominica,Americas,173,240.31,1,1.39,1,0,0,0,0,0,Clusters of cases
Northern Mariana Islands (Commonwealth of the),Western Pacific,164,284.93,2,3.47,0,2,3.47,0,0,0,Pending
Grenada,Americas,159,141.3,0,0,0,1,0.89,0,0,0,Sporadic cases
Lao People's Democratic Republic,Western Pacific,159,2.19,105,1.44,65,0,0,0,0,0,Sporadic cases
New Caledonia,Western Pacific,124,43.43,1,0.35,0,0,0,0,0,0,Sporadic cases
Fiji,Western Pacific,86,9.59,18,2.01,0,2,0.22,0,0,0,Sporadic cases
Falkland Islands (Malvinas),Americas,63,1808.79,1,28.71,0,0,0,0,0,0,Sporadic cases
Saint Kitts and Nevis,Americas,44,82.72,0,0,0,0,0,0,0,0,No cases
Anguilla,Americas,33,219.97,4,26.66,0,0,0,0,0,0,Sporadic cases
Greenland,Europe,31,54.6,0,0,0,0,0,0,0,0,No cases
Holy See,Europe,26,3213.84,0,0,0,0,0,0,0,0,Sporadic cases
Saint Pierre and Miquelon,Americas,25,431.41,0,0,0,0,0,0,0,0,Sporadic cases
Montserrat,Americas,20,400.08,0,0,0,1,20,0,0,0,No cases
Sint Eustatius,Americas,20,637.15,0,0,0,0,0,0,0,0,No cases
Solomon Islands,Western Pacific,20,2.91,0,0,0,0,0,0,0,0,No cases
Saba,Americas,6,310.4,0,0,0,0,0,0,0,0,No cases
Marshall Islands,Western Pacific,4,6.76,0,0,0,0,0,0,0,0,No cases
Vanuatu,Western Pacific,3,0.98,0,0,0,0,0,0,0,0,No cases
Samoa,Western Pacific,1,0.5,0,0,0,0,0,0,0,0,No cases
American Samoa,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Cook Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0,No cases
Kiribati,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Nauru,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Niue,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Palau,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0,No cases
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Tonga,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0,No cases
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
